"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-04042024-069186";"";
"REFERENCE";"393570002";"";
"TraceParts.PartTitle";"Eurostyle Fixed Mount";"";
"TraceParts.InstanceId";"90-04042024-0691862N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"Molex";"";
"DESIGN";"3.50mm Pitch Beau Eurostyle Fixed Mount PCB Terminal Block, 2 Circuits";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.7";"";
